日期,今日是周几,今日是本年的第几周,今日是本年的第几天,是否节假日,本周的节假日有几天,距离下一个工作日有几天
2017-01-01,星期天,1,1,是,1,2
2017-01-02,星期一,2,2,是,1,1
2017-01-03,星期二,2,3,否,1,1
2017-01-04,星期三,2,4,否,1,1
2017-01-05,星期四,2,5,否,1,1
2017-01-06,星期五,2,6,否,1,2
2017-01-07,星期六,2,7,否,1,1
2017-01-08,星期天,2,8,否,1,1
2017-01-09,星期一,3,9,否,0,1
2017-01-10,星期二,3,10,否,0,1
2017-01-11,星期三,3,11,否,0,1
2017-01-12,星期四,3,12,否,0,1
2017-01-13,星期五,3,13,否,0,2
2017-01-14,星期六,3,14,否,0,1
2017-01-15,星期天,3,15,否,0,1
2017-01-16,星期一,4,16,否,0,1
2017-01-17,星期二,4,17,否,0,1
2017-01-18,星期三,4,18,否,0,1
2017-01-19,星期四,4,19,否,0,1
2017-01-20,星期五,4,20,否,0,2
2017-01-21,星期六,4,21,否,0,1
2017-01-22,星期天,4,22,否,0,1
2017-01-23,星期一,5,23,否,3,1
2017-01-24,星期二,5,24,否,3,1
2017-01-25,星期三,5,25,否,3,1
2017-01-26,星期四,5,26,否,3,8
2017-01-27,星期五,5,27,是,3,7
2017-01-28,星期六,5,28,是,3,6
2017-01-29,星期天,5,29,是,3,5
2017-01-30,星期一,6,30,是,4,4
2017-01-31,星期二,6,31,是,4,3
2017-02-01,星期三,6,32,是,4,2
2017-02-02,星期四,6,33,是,4,1
2017-02-03,星期五,6,34,否,4,1
2017-02-04,星期六,6,35,否,4,1
2017-02-05,星期天,6,36,否,4,1
2017-02-06,星期一,7,37,否,0,1
2017-02-07,星期二,7,38,否,0,1
2017-02-08,星期三,7,39,否,0,1
2017-02-09,星期四,7,40,否,0,1
2017-02-10,星期五,7,41,否,0,2
2017-02-11,星期六,7,42,否,0,1
2017-02-12,星期天,7,43,否,0,1
2017-02-13,星期一,8,44,否,0,1
2017-02-14,星期二,8,45,否,0,1
2017-02-15,星期三,8,46,否,0,1
2017-02-16,星期四,8,47,否,0,1
2017-02-17,星期五,8,48,否,0,2
2017-02-18,星期六,8,49,否,0,1
2017-02-19,星期天,8,50,否,0,1
2017-02-20,星期一,9,51,否,0,1
2017-02-21,星期二,9,52,否,0,1
2017-02-22,星期三,9,53,否,0,1
2017-02-23,星期四,9,54,否,0,1
2017-02-24,星期五,9,55,否,0,2
2017-02-25,星期六,9,56,否,0,1
2017-02-26,星期天,9,57,否,0,1
2017-02-27,星期一,10,58,否,0,1
2017-02-28,星期二,10,59,否,0,1
2017-03-01,星期三,10,60,否,0,1
2017-03-02,星期四,10,61,否,0,1
2017-03-03,星期五,10,62,否,0,2
2017-03-04,星期六,10,63,否,0,1
2017-03-05,星期天,10,64,否,0,1
2017-03-06,星期一,11,65,否,0,1
2017-03-07,星期二,11,66,否,0,1
2017-03-08,星期三,11,67,否,0,1
2017-03-09,星期四,11,68,否,0,1
2017-03-10,星期五,11,69,否,0,2
2017-03-11,星期六,11,70,否,0,1
2017-03-12,星期天,11,71,否,0,1
2017-03-13,星期一,12,72,否,0,1
2017-03-14,星期二,12,73,否,0,1
2017-03-15,星期三,12,74,否,0,1
2017-03-16,星期四,12,75,否,0,1
2017-03-17,星期五,12,76,否,0,2
2017-03-18,星期六,12,77,否,0,1
2017-03-19,星期天,12,78,否,0,1
2017-03-20,星期一,13,79,否,0,1
2017-03-21,星期二,13,80,否,0,1
2017-03-22,星期三,13,81,否,0,1
2017-03-23,星期四,13,82,否,0,1
2017-03-24,星期五,13,83,否,0,2
2017-03-25,星期六,13,84,否,0,1
2017-03-26,星期天,13,85,否,0,1
2017-03-27,星期一,14,86,否,1,1
2017-03-28,星期二,14,87,否,1,1
2017-03-29,星期三,14,88,否,1,1
2017-03-30,星期四,14,89,否,1,1
2017-03-31,星期五,14,90,否,1,1
2017-04-01,星期六,14,91,否,1,4
2017-04-02,星期天,14,92,是,1,3
2017-04-03,星期一,15,93,是,2,2
2017-04-04,星期二,15,94,是,2,1
2017-04-05,星期三,15,95,否,2,1
2017-04-06,星期四,15,96,否,2,1
2017-04-07,星期五,15,97,否,2,2
2017-04-08,星期六,15,98,否,2,1
2017-04-09,星期天,15,99,否,2,1
2017-04-10,星期一,16,100,否,0,1
2017-04-11,星期二,16,101,否,0,1
2017-04-12,星期三,16,102,否,0,1
2017-04-13,星期四,16,103,否,0,1
2017-04-14,星期五,16,104,否,0,2
2017-04-15,星期六,16,105,否,0,1
2017-04-16,星期天,16,106,否,0,1
2017-04-17,星期一,17,107,否,0,1
2017-04-18,星期二,17,108,否,0,1
2017-04-19,星期三,17,109,否,0,1
2017-04-20,星期四,17,110,否,0,1
2017-04-21,星期五,17,111,否,0,2
2017-04-22,星期六,17,112,否,0,1
2017-04-23,星期天,17,113,否,0,1
2017-04-24,星期一,18,114,否,2,1
2017-04-25,星期二,18,115,否,2,1
2017-04-26,星期三,18,116,否,2,1
2017-04-27,星期四,18,117,否,2,1
2017-04-28,星期五,18,118,否,2,4
2017-04-29,星期六,18,119,是,2,3
2017-04-30,星期天,18,120,是,2,2
2017-05-01,星期一,19,121,是,1,1
2017-05-02,星期二,19,122,否,1,1
2017-05-03,星期三,19,123,否,1,1
2017-05-04,星期四,19,124,否,1,1
2017-05-05,星期五,19,125,否,1,2
2017-05-06,星期六,19,126,否,1,1
2017-05-07,星期天,19,127,否,1,1
2017-05-08,星期一,20,128,否,0,1
2017-05-09,星期二,20,129,否,0,1
2017-05-10,星期三,20,130,否,0,1
2017-05-11,星期四,20,131,否,0,1
2017-05-12,星期五,20,132,否,0,2
2017-05-13,星期六,20,133,否,0,1
2017-05-14,星期天,20,134,否,0,1
2017-05-15,星期一,21,135,否,0,1
2017-05-16,星期二,21,136,否,0,1
2017-05-17,星期三,21,137,否,0,1
2017-05-18,星期四,21,138,否,0,1
2017-05-19,星期五,21,139,否,0,2
2017-05-20,星期六,21,140,否,0,1
2017-05-21,星期天,21,141,否,0,1
2017-05-22,星期一,22,142,否,1,1
2017-05-23,星期二,22,143,否,1,1
2017-05-24,星期三,22,144,否,1,1
2017-05-25,星期四,22,145,否,1,1
2017-05-26,星期五,22,146,否,1,1
2017-05-27,星期六,22,147,否,1,4
2017-05-28,星期天,22,148,是,1,3
2017-05-29,星期一,23,149,是,2,2
2017-05-30,星期二,23,150,是,2,1
2017-05-31,星期三,23,151,否,2,1
2017-06-01,星期四,23,152,否,2,1
2017-06-02,星期五,23,153,否,2,2
2017-06-03,星期六,23,154,否,2,1
2017-06-04,星期天,23,155,否,2,1
2017-06-05,星期一,24,156,否,0,1
2017-06-06,星期二,24,157,否,0,1
2017-06-07,星期三,24,158,否,0,1
2017-06-08,星期四,24,159,否,0,1
2017-06-09,星期五,24,160,否,0,2
2017-06-10,星期六,24,161,否,0,1
2017-06-11,星期天,24,162,否,0,1
2017-06-12,星期一,25,163,否,0,1
2017-06-13,星期二,25,164,否,0,1
2017-06-14,星期三,25,165,否,0,1
2017-06-15,星期四,25,166,否,0,1
2017-06-16,星期五,25,167,否,0,2
2017-06-17,星期六,25,168,否,0,1
2017-06-18,星期天,25,169,否,0,1
2017-06-19,星期一,26,170,否,0,1
2017-06-20,星期二,26,171,否,0,1
2017-06-21,星期三,26,172,否,0,1
2017-06-22,星期四,26,173,否,0,1
2017-06-23,星期五,26,174,否,0,2
2017-06-24,星期六,26,175,否,0,1
2017-06-25,星期天,26,176,否,0,1
2017-06-26,星期一,27,177,否,0,1
2017-06-27,星期二,27,178,否,0,1
2017-06-28,星期三,27,179,否,0,1
2017-06-29,星期四,27,180,否,0,1
2017-06-30,星期五,27,181,否,0,2
2017-07-01,星期六,27,182,否,0,1
2017-07-02,星期天,27,183,否,0,1
2017-07-03,星期一,28,184,否,0,1
2017-07-04,星期二,28,185,否,0,1
2017-07-05,星期三,28,186,否,0,1
2017-07-06,星期四,28,187,否,0,1
2017-07-07,星期五,28,188,否,0,2
2017-07-08,星期六,28,189,否,0,1
2017-07-09,星期天,28,190,否,0,1
2017-07-10,星期一,29,191,否,0,1
2017-07-11,星期二,29,192,否,0,1
2017-07-12,星期三,29,193,否,0,1
2017-07-13,星期四,29,194,否,0,1
2017-07-14,星期五,29,195,否,0,2
2017-07-15,星期六,29,196,否,0,1
2017-07-16,星期天,29,197,否,0,1
2017-07-17,星期一,30,198,否,0,1
2017-07-18,星期二,30,199,否,0,1
2017-07-19,星期三,30,200,否,0,1
2017-07-20,星期四,30,201,否,0,1
2017-07-21,星期五,30,202,否,0,2
2017-07-22,星期六,30,203,否,0,1
2017-07-23,星期天,30,204,否,0,1
2017-07-24,星期一,31,205,否,0,1
